softmax,label
3.2041909889812814e-06,0
0.0014526774175465107,0
0.0005605755723081529,0
9.733312253956683e-06,0
0.011474275030195713,0
1.0,0
1.0,0
1.0,0
1.0,1
0.9999998807907104,1
0.9999995231628418,1
0.9999994039535522,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999992847442627,1
0.9999996423721313,1
0.9999998807907104,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999384880065918,1
0.9999967813491821,1
0.9999812841415405,1
0.9999995231628418,1
0.9999402761459351,1
0.9997511506080627,1
0.41204166412353516,1
0.0209874976426363,1
0.9999998807907104,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999997615814209,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999998807907104,1
0.9895378351211548,1
0.01440571527928114,1
2.7442615888051414e-11,1
1.7968958298305443e-13,1
1.3239279464394293e-12,1
2.624274131335369e-10,1
6.227068860553686e-10,1
6.610800937778549e-07,0
0.0009503202745690942,0
0.0835505872964859,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
0.004578516818583012,0
1.3631365480826219e-10,0
5.603884023486216e-10,0
5.669740284902636e-12,0
3.4945317039375423e-12,0
1.5663120485950172e-13,0
4.081951519418342e-13,0
1.5124972671878845e-13,0
1.3565383538693965e-10,0
5.013712101736845e-12,0
6.932402134979254e-12,0
1.9694157415983682e-10,0
3.264748045239685e-07,0
6.133769056759775e-05,0
0.9996814727783203,1
8.293382620649936e-07,1
5.849279727243584e-09,1
5.617811993374744e-08,1
9.448896109987004e-10,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0021622891072183847,1
2.279666256113644e-13,1
5.328433303475322e-07,0
8.212130975238097e-10,0
5.178431902036484e-12,0
3.1966679737288617e-12,0
4.004809450643826e-13,0
5.3857470566631704e-11,0
2.5892602298349665e-11,0
1.8801473439656984e-14,0
2.9681894556142854e-14,0
5.35584120625696e-16,0
1.8793773232540084e-13,0
1.2452551197226353e-13,0
4.276258458446591e-09,0
3.09872859816096e-07,0
1.6307408756688346e-08,0
2.979818614079477e-10,0
4.634752651111462e-11,0
1.7212412051215153e-10,0
9.322547178669538e-10,0
4.840829959107396e-10,0
7.779620697645484e-12,0
1.743132443943196e-10,0
1.2557684059277818e-10,0
1.0744735830237051e-11,0
2.5658381669346753e-12,0
4.6976592944390425e-14,0
9.728569810634954e-14,0
2.6801003365391207e-13,0
1.0456764577490563e-12,0
1.6663617100759476e-12,0
6.783974965986206e-13,0
1.438840799977692e-12,0
3.864067919800984e-12,0
3.34237384947908e-13,0
5.621517791196129e-13,0
1.058939286084637e-12,0
6.6514450197674435e-12,0
1.7178491268365903e-11,0
8.619771563189715e-11,0
1.4062504938294751e-08,0
6.16086950344652e-08,0
6.817422321114819e-11,0
1.4726746569177634e-13,0
2.5026050906617504e-14,1
7.61139540284006e-10,1
5.838514738343292e-08,1
1.2522947145043872e-05,1
0.5228342413902283,1
0.9999557733535767,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999998807907104,1
0.9999997615814209,1
0.9999995231628418,1
0.9979123473167419,0
3.7650697777280584e-05,0
3.8559552194783464e-05,0
0.37805992364883423,0
0.000752515101339668,0
2.592413147795014e-05,0
0.00031337913242168725,0
0.0007548227440565825,0
0.7294017672538757,0
0.014913268387317657,0
0.0022498853504657745,0
7.282606384251267e-05,0
0.99912029504776,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
0.9999996423721313,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999977350234985,1
0.9999984502792358,1
0.9999996423721313,0
0.004026044625788927,0
6.313319311779253e-10,0
1.6702836336257576e-10,0
2.628893214229322e-10,0
1.4110071444584094e-10,0
3.949899851640737e-10,0
8.834899478671332e-10,0
6.420985271260449e-11,0
6.174568634165212e-10,0
2.2980928271465473e-10,0
1.8996849926455894e-10,0
3.8212541464410776e-10,0
2.810949528697648e-10,0
1.2445280916928425e-10,0
2.627845441249832e-10,0
4.0399150691428076e-10,0
1.2108498026464076e-07,0
0.9999998807907104,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9995467066764832,1
0.9999812841415405,0
1.0,0
0.4698724150657654,0
2.869925852522215e-09,0
1.025852840175201e-11,0
3.66028951939712e-12,0
2.5140514670063396e-12,0
7.223129429648201e-13,0
1.7580517120210915e-13,0
2.7595068452512805e-09,0
2.0764537658757298e-11,0
1.090798350082689e-12,0
5.13814692019738e-14,0
1.91973108416843e-12,0
7.168258875367428e-09,0
2.9727195851592114e-06,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9700011610984802,1
0.0004974493058398366,1
5.680561815206431e-13,1
1.0358013925737541e-11,1
6.4232947849518496e-09,1
2.2776369679178288e-09,1
1.05849320419793e-08,1
1.4871438525076996e-09,1
4.534894681995638e-09,1
1.1874582384052701e-07,1
6.857253098679905e-10,1
2.2263091370433585e-10,1
2.2613855232833657e-10,1
4.2513850079251014e-11,1
0.0008297892054542899,1
1.0,1
0.9996975660324097,1
