softmax,label
1.0,1.0
0.9999994,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
0.999964,1.0
0.9999999,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
0.9999999,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
1.0,1.0
0.99998736,1.0
0.9999995,1.0
0.99998,1.0
2.4602956e-05,0.0
1.867385e-10,0.0
1.6785946e-09,0.0
6.191764e-10,0.0
9.314993e-10,0.0
1.548507e-05,0.0
8.389124e-11,0.0
5.5546184e-12,0.0
5.7333492e-11,0.0
2.5053781e-08,0.0
2.4546593e-05,0.0
2.2315935e-10,0.0
2.6872002e-09,0.0
1.5354443e-07,0.0
4.389268e-06,0.0
0.99897015,1.0
0.9999993,1.0
0.99999154,1.0
0.99999976,1.0
1.0,1.0
1.0,1.0
0.99998045,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.99999607,1.0
0.9999881,1.0
0.99999785,1.0
0.99981254,1.0
5.695858e-06,0.0
2.7163745e-07,0.0
9.913546e-10,0.0
4.876719e-15,0.0
5.602521e-12,0.0
1.2688302e-07,0.0
9.0803366e-07,0.0
1.3434822e-08,0.0
3.620124e-08,0.0
1.4875411e-06,0.0
1.7021757e-09,0.0
1.2870189e-08,0.0
4.5862945e-09,0.0
1.3737305e-06,0.0
3.649211e-09,0.0
1.6860437e-11,0.0
3.13301e-08,0.0
5.746339e-09,0.0
2.1666517e-09,0.0
1.880408e-15,0.0
6.270164e-14,0.0
5.209034e-15,0.0
2.8409226e-14,0.0
4.0266906e-14,0.0
2.595624e-06,0.0
1.5461048e-05,0.0
0.00028325667,0.0
2.5887458e-08,0.0
3.1877087e-10,0.0
5.980574e-12,0.0
2.1857524e-10,0.0
1.1559114e-09,0.0
1.6400055e-11,0.0
5.8147215e-08,0.0
4.0430255e-08,0.0
1.8189433e-10,0.0
1.550508e-09,0.0
3.686846e-07,0.0
1.6034655e-09,0.0
6.724105e-11,0.0
8.16532e-07,0.0
0.99999905,1.0
0.9999993,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.99999905,1.0
0.9999993,1.0
0.99999976,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999976,1.0
0.99999976,1.0
0.9998723,1.0
1.3877022e-07,0.0
1.3850368e-09,0.0
2.4610691e-09,0.0
1.6155391e-07,0.0
1.0999488e-09,0.0
1.4608195e-08,0.0
2.956607e-10,0.0
1.9284296e-11,0.0
1.2178794e-11,0.0
5.145596e-12,0.0
9.047531e-11,0.0
3.6608797e-10,0.0
4.9009776e-13,0.0
2.9246816e-10,0.0
1.4898415e-16,0.0
6.226094e-14,0.0
2.8135863e-05,0.0
2.4163937e-08,0.0
7.784114e-13,0.0
1.0250603e-06,0.0
0.9999969,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999995,1.0
0.9999875,1.0
0.9999999,1.0
0.9999999,1.0
0.00051518565,0.0
1.0081899e-05,0.0
6.6656517e-06,0.0
2.8812874e-05,0.0
7.760532e-08,0.0
6.634574e-07,0.0
4.256688e-06,0.0
7.538858e-08,0.0
8.782487e-08,0.0
3.1267453e-07,0.0
2.8042885e-07,0.0
3.815966e-14,0.0
1.5466092e-09,0.0
1.9517039e-08,0.0
5.160585e-08,0.0
0.9999703,1.0
0.99996114,1.0
1.0,1.0
0.99999964,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.99999976,1.0
0.9999701,1.0
0.99999154,1.0
0.9999999,1.0
0.9999827,1.0
1.7720542e-05,0.0
2.478988e-06,0.0
3.862414e-05,0.0
1.9046447e-06,0.0
8.244513e-09,0.0
2.3000354e-10,0.0
1.14603405e-14,0.0
5.1268478e-15,0.0
1.3637348e-10,0.0
2.019893e-12,0.0
3.1690144e-09,0.0
1.6892152e-10,0.0
1.1375055e-11,0.0
7.76997e-15,0.0
4.4031494e-09,0.0
1.03033315e-08,0.0
1.3981214e-05,0.0
0.99997485,1.0
0.9999999,1.0
0.9999598,1.0
1.0,1.0
1.0,1.0
0.99999976,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
1.0,1.0
1.0,1.0
0.9999999,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999944,1.0
4.756005e-06,0.0
1.1013307e-08,0.0
2.0444875e-11,0.0
9.87117e-17,0.0
4.8576792e-11,0.0
2.1291681e-08,0.0
1.0814993e-07,0.0
4.4355384e-06,0.0
2.8677362e-06,0.0
8.186412e-08,0.0
2.388379e-07,0.0
2.9050409e-09,0.0
1.0118589e-08,0.0
9.863065e-08,0.0
3.7615286e-11,0.0
8.1538935e-11,0.0
2.1322058e-10,0.0
1.8841937e-06,0.0
1.1758646e-09,0.0
8.968872e-15,0.0
3.004352e-14,0.0
2.3376325e-18,0.0
6.817607e-14,0.0
7.2656743e-09,0.0
2.2638769e-09,0.0
3.1985869e-07,0.0
4.5456957e-08,0.0
1.0145116e-09,0.0
2.138381e-09,0.0
4.334361e-14,0.0
1.651555e-10,0.0
9.35919e-11,0.0
4.5720164e-12,0.0
2.2658358e-11,0.0
1.2168504e-08,0.0
1.4074679e-09,0.0
9.66598e-10,0.0
3.1058516e-06,0.0
1.6100053e-07,0.0
1.3018862e-09,0.0
1.8598159e-06,0.0
