softmax,label
1.0,1
4.768853090197922e-10,1
1.0,1
1.0,1
0.9730024337768555,1
1.0,1
8.206177404268544e-11,1
1.0,1
1.0,1
1.0,1
0.6702595353126526,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
5.057603225111507e-09,1
1.725032383603775e-08,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999998807907104,1
0.032308876514434814,1
4.773826844939322e-07,1
0.07503001391887665,1
8.003846119208902e-07,1
8.646244964438665e-08,1
2.0465122929635982e-07,1
2.62573934151078e-07,1
3.5557867761326634e-10,1
4.904323613885708e-10,1
5.428280602792768e-10,1
3.5775063467191615e-11,1
3.8854562234291734e-08,1
2.012259933334426e-12,1
0.00015412262291647494,1
4.8258216338581406e-06,1
0.9999998807907104,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999998807907104,1
0.9999982118606567,1
0.9998301267623901,1
0.9999074935913086,1
0.6489649415016174,1
0.9935742020606995,1
0.9232549667358398,1
0.03626494109630585,1
4.7389221435878426e-07,1
2.1335895894480927e-07,1
2.9539153274527052e-06,1
2.0266814004799016e-08,1
1.0667660088614639e-09,1
6.114186934524923e-11,1
7.183002456723209e-12,1
1.710739731299038e-12,1
9.125159516898407e-10,0
1.5161165656252251e-09,0
5.322070006918977e-10,0
5.548747017414257e-10,0
0.5200336575508118,0
0.9999958276748657,0
0.9999994039535522,0
1.0,0
1.0,1
1.0,1
0.9999997615814209,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999997615814209,1
1.0,1
1.0,1
0.05395955219864845,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999467134475708,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999996423721313,0
0.3599676489830017,0
0.9999611377716064,0
1.9455211053287513e-10,0
3.712590469968392e-14,0
8.981879773273249e-08,0
8.360890646486041e-09,0
8.320062000466422e-11,0
2.266599668371283e-12,0
1.221446853166483e-13,0
1.7625222462069878e-11,0
2.0630819719258398e-08,0
5.292102756015993e-08,0
5.49608921573963e-06,0
2.2521264367303395e-14,0
3.770014966875124e-09,0
6.269116511248285e-06,1
3.8101923109934432e-06,1
0.9999812841415405,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999991655349731,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9817919135093689,1
0.9995008707046509,1
1.0,1
1.8317599659312123e-09,0
0.03855200484395027,0
1.6229110997301177e-06,0
4.031457834230423e-09,0
9.401898704020084e-11,0
3.445177199079552e-10,0
1.251240083766092e-10,0
0.02517223358154297,0
6.805569996437555e-12,0
1.0,0
2.3896427439368435e-14,0
5.9783480388375665e-09,0
2.994136139022885e-07,0
1.6849555084519352e-09,0
2.3672654947404226e-09,0
5.0883508517785e-10,0
4.828164534842472e-08,0
1.6938684899159284e-09,0
2.0732799158040827e-11,0
1.0854628827716706e-11,0
2.8203986455338503e-12,0
2.3954281266891364e-11,0
4.198367781899082e-12,0
9.416659075764389e-13,0
8.54741082599586e-14,0
1.0705296892010718e-11,0
4.489350514599866e-13,0
1.0804518738027902e-11,0
5.839466687973527e-10,0
7.79160114205979e-09,0
1.8930043643727856e-10,0
